ROI	recallT	recallP	forgT	forgP	interF	interP
LIFG	3.34407	0.00308	0.63408	0.53288	11.05838	0.00321
RIFG	2.86702	0.00923	1.28371	0.21323	3.03738	0.09599
LIPL	4.83251	0.00009	2.01107	0.05733	15.28677	0.00081
RIPL	4.26047	0.00035	2.10662	0.04735	13.98970	0.00121
LFUS	2.63672	0.01542	1.32707	0.19874	3.09327	0.09318
RFUS	1.96100	0.06328	1.09288	0.28682	2.36161	0.13929
LITG	1.59693	0.12522	0.30482	0.76350	2.29966	0.14431
RITG	1.98508	0.06035	0.11249	0.91151	3.10514	0.09260
LdLOC	3.13228	0.00503	0.84849	0.40573	8.64493	0.00782
RdLOC	1.24682	0.22619	1.72345	0.09950	0.37010	0.54947
LvLOC	1.84084	0.07982	0.75868	0.45647	1.81995	0.19169
RvLOC	1.32059	0.20085	0.86819	0.39510	0.73136	0.40209
LMTG	1.71003	0.10200	-0.95527	0.35031	4.32943	0.04989
RMTG	1.94114	0.06578	0.29002	0.77464	2.54803	0.12537
LHIP	0.76743	0.45137	0.95155	0.35215	0.10050	0.75436
RHIP	0.45312	0.65511	1.21755	0.23690	0.00813	0.92900
LAMG	0.11144	0.91233	-0.43260	0.66971	0.08416	0.77458
RAMG	1.56103	0.13346	0.04945	0.96102	2.11714	0.16044
LPHG	0.92364	0.36617	1.48845	0.15150	0.07411	0.78810
RPHG	1.83411	0.08085	1.31206	0.20366	0.77092	0.38987
IPLLOC	2.33160	0.02976	0.74758	0.46300	4.37124	0.04889
IPLLOC_diff16	4.19903	0.00040	1.57228	0.13083	12.39656	0.00203
